店名,カテゴリ,緯度,経度,住所,最寄駅,メニュー,営業時間,定休日,電話,辛さ,テイクアウト,ガイドブックページ,位置概算,公式ページ
さんとよん,その他・オリジナル,35.69967,139.745953,千代田区富士見2-4-7 島ビル2F,JR飯田橋駅 西口 徒歩4分,"あいがけカレー ¥1,300 / 野菜カレー ￥1,000 / 肉カレー ￥1,100",月～金 11:30～15:00（LO14:50）,"水・日
祝日は不定期で営業します。
【定休日変更のお知らせ】
 公式ガイドブックには、定休日を「土日祝 (特別営業あり)」と記載していますが、
 定休日が、水曜日と日曜日に変更になりました。
 また、祝日は不定期で営業いたします。
 （20260726）","メールにてお問合せお願いいたします。
3to4@320design.net",やや辛い,あり,62,,https://kanda-curry.com/?p=16264
Shapla（シャプラ）神田店,その他・オリジナル,35.692784,139.771841,"〒101-0044
東京都千代田区鍛冶町2－7－6リッツビル２F",JR神田駅徒歩１分 / 地下鉄 神田A9出口 徒歩２分,"チキンカレー ランチ￥930／ディナー￥1,130 / タイグリーンカレー ランチ￥900／ディナー￥1,089 / 日替わりランチ ￥930","ランチ 11:30～14:30 / ディナー 17:30～22:00",日曜・祝日、年末年始,03－6273－9343,辛い,あり,62,,https://kanda-curry.com/?p=6819
ジャンカレー,その他・オリジナル,35.702833,139.769738,千代田区外神田3-6-7 大西ビル1F,末広町駅3番出口より徒歩2分 / JR秋葉原駅より徒歩7分,"豚角煮カレー ￥1,300 / スパイシーキーマカレー ￥1,100 / ジャンカレー ￥700",11:30～21:00 (LO20:50),年末年始,03-3254-8833,中辛,あり,62,,https://kanda-curry.com/?p=1117
上等カレー 秋葉原店,その他・オリジナル,35.701962,139.771852,千代田区外神田4-6-1 シューマンビル1F＋B1F,"JR秋葉原駅 電気街口 徒歩5分<br / 地下末広町駅 1番出口 徒歩1分","エビカレー ¥1,300 / ハンバーグカレー ¥1,300 / トンカツカレー ¥1,200",11:00 ~ 23:00(LO22:30),無休,03-3251-2777,中辛,あり,63,,https://kanda-curry.com/?p=13135
水道橋カレー＆バル Largo,その他・オリジナル,35.701096,139.754087,千代田区神田三崎町2-11-12 ENZIN Suidobashi Bldg 2F,JR水道橋駅東口徒歩3分 / 地下鉄水道橋駅A2出口徒歩5分 / 地下鉄神保町駅A2出口徒歩10分,"Largoカレー ¥1,200 / その他 / Largo焼きカレー ¥1,200 / とまとバターチキン ¥1,200",ランチ 11:30～14:30（LO14:00） / ディナー 18:00～22:30（LO22:00）,水土日祝、お盆、年末年始,03-6272-9267,やや辛い,なし,63,,https://kanda-curry.com/?p=19794
スパイス欧風カレーPAIKAJI,その他・オリジナル,35.690456,139.740402,千代田区三番町18-19 アルテビル1F,市ヶ谷駅A3出口 徒歩4分 / 地下鉄半蔵門駅5番出口 徒歩8分,"ラフテーカレー ￥1,450 / PAIKAJIカレー ￥2,000 / ハンバーグカレー80ｇ ￥1,500",ランチ（月～土） 11:30～15:00（LO14:30） / ディナー（水～土） 18:00～21:30（LO21:00),日曜日,080-6023-0527,やや辛い,あり,63,概算,https://kanda-curry.com/?p=18672
スパイスカリー はちわん 神保町店,その他・オリジナル,35.698597,139.754337,千代田区西神田2-5-2 TASビル1F,地下鉄神保町駅A2出口 徒歩5分 / JR水道橋駅西口 徒歩7分 / 地下鉄九段下駅5番出口 徒歩9分,"メインメニュー名： / 牛肉ときのこの焦がし味噌カリー×サバとカツオ出汁のココナッツカリー / ￥1,320 / その他 / 焼肉屋のメンチカツ ￥275 / サモサ ￥198",月～土ランチ 11:00〜15:00（LO14:30）,日祝は不定休、年末年始,080-3207-4824,調整可能,あり,64,,https://kanda-curry.com/?p=19834
Spice Theater 丸の内,その他・オリジナル,35.682355,139.763973,千代田区丸の内1-5-1 新丸の内ビルディングB1F,地下鉄東京駅地下通路直結 徒歩1分 / JR東京駅丸の内北口 徒歩3分 / 地下鉄大手町駅 徒歩5分,"メインメニュー： / 神田カレーGP 限定！ ビンダル×カツカレー（目玉焼き付き）￥1,500 / その他メニュー： / ビリヤニ ￥1,650～ / 3種カリー ￥1,350～",月～土 11:00～23:00（LO22:00） / 日・祝日 11:00～22:00（LO21:00）,年末年始,03-5860-3718,調整可能（卓上チリパウダーで調整）,あり,64,,https://kanda-curry.com/?p=19517
SPICE NERD,その他・オリジナル,35.693934,139.772076,千代田区鍛冶町2-11-17,JR神田駅東口 徒歩3分 / 地下鉄岩本町駅A1出口 徒歩4分,"メインメニュー / 2種あいがけカレー ￥1,700 / その他メニュー / いりこ出汁のティムルチキンカレー ￥1,500 / 花椒バルサミコのチキン65（ディナーのみ） ￥1,000",平日ランチ 12:00〜15:00（LO14:30） / 平日ディナー 17:30〜23:00（LO22:00） / 土日祝 12:00〜23:00（LO22:00）,火曜日,03-6271-7551,やや辛い,,64,,https://kanda-curry.com/?p=19824
スパイスパレット,その他・オリジナル,35.700876,139.775845,台東区台東1-9-4 松浦ビル2F,地下鉄日比谷線秋葉原駅線 1番出口より徒歩約3分 / JR秋葉原駅 昭和通り口より徒歩約6分 / 地下鉄銀座線 末広町駅 1番出口より徒歩約8分,"チキン＆キーマ ￥1,450 / チキンカレー ￥1,250 / キーマカレー ￥1,250",ランチ(月～土）：11:30～15:00(LO14:30) / ディナー（月～金）：17:30～21:00(LO20:30),土ディナー・日・祝、年末年始,"メールでのご連絡をお願いいたします。
 spicepalette@nonde-tabete.com",中辛,なし,65,,https://kanda-curry.com/?p=10773
スマトラカレー 共栄堂,その他・オリジナル,35.696202,139.759358,千代田区神田神保町1－6サンビルＢ1,都営地下鉄三田線、新宿線、東京メトロ半蔵門線 / 「神保町駅」A５出口,"ポークカレー ￥1,300 / ビーフカレー ￥1,700 / チキンカレー ￥1,500 / エビカレー ￥1,600 / タンカレー ￥2,200 / ハヤシライス ￥1,700 / 焼きりんご（期間限定10月～5月上旬）￥700",11:00～20:00（LO19：45）,日曜（祝日は不定休）、年末年始,03-3291-1475,普通,あり,65,,https://kanda-curry.com/?p=636
ダイアモンドヘッド,その他・オリジナル,35.695265,139.765997,千代田区神田小川町1-6-7 竹田ビル1F,小川町駅 A7出口 徒歩1分 / 淡路町駅 A5出口 徒歩2分,"シュリンプカレー ￥1,650 / ガーリックシュリンプ ￥1,200 / ぷるぷるパンケーキ ￥2,600",平日ランチ 11:30~14:00(LO) / 平日ディナー 17:00~23:00(LO) / 土日祝 11:30~23:00(LO),年末年始,03-6206-8885,やや辛い,あり,65,,https://kanda-curry.com/?p=16740
大衆音楽酒場 WAKASU,その他・オリジナル,35.689779,139.768952,千代田区内神田3-4-1 勝康ビル2F,JR神田駅西口 徒歩4分 / 地下鉄大手町駅A2出口 徒歩6分,"メインメニュー名： / スパイシーチキンカレー（ランチのみ） ￥1,200 / その他： / スパイシーシーフードカレー（ランチのみ） ￥1,200 / 国産鶏の唐揚げ定食（ランチのみ） ￥1,000",火～金ランチ 11:30～14:00（LO） / 月～土ディナー 17:00～23:00（LO22:30）,日・祝、お盆、年末年始,03-4400-8099,中辛,あり,66,,https://kanda-curry.com/?p=19822
dining bar スナックゆうこ,その他・オリジナル,35.697417,139.757094,千代田区神田神保町2-24 木下ビル1F,地下鉄神保町A4出口 徒歩2分,"薬膳スパイス チキンカレー ランチ￥1,100／ディナー￥1,320 / 薬膳スパイス ポークカレー（ランチのみ） ￥1,200 / 小鉢（ディナーのみ） ￥380～",月～土ランチ 10:30〜15:00（LO） / 月～金ディナー 18:00〜24:00（LO23:00）,土ディナー・日、年末年始（祝日は不定休）,03-6272-3977,中辛,なし,66,,https://kanda-curry.com/?p=11394
Dining Bar Tigre（ティグレ）,その他・オリジナル,35.703862,139.772318,千代田区外神田5-2-14-1Ｆ,地下鉄 末広町駅2番出口 徒歩１分,"２種盛りカレー￥2,300（ランチ￥1,600） / スパイシーキーマカレー ￥1,800（ランチ￥1,400） / 濃厚エビカレー ￥1,800（ランチ￥1,400）","月～金 ランチ 11:45～14:00（LO13:45） / 月火水木 バー 18:00～23:00（LO21:00） / 金土バー 18:00～25:00（LO21:00） / 祝 バー 18:00～22:00（LO21:00）",日曜日、年始,03-5826-8098,辛い,あり,66,,https://kanda-curry.com/?p=14477
洋食膳 海カレー TAKEUCHI 神保町本店,その他・オリジナル,35.696799,139.759504,千代田区 神保町1-20-3 鈴木ビル1F,地下鉄神保町駅 A5出口 徒歩3分,"気まぐれプレート ￥1,600～ / ライオンビール ￥600 / 本日のラッシー ￥350～","10:30〜11:30にオープンいたします / カレーがなくなり次第、終了いたします",不定休、年末年始,03-3292-0523,辛い,あり,67,,https://kanda-curry.com/?p=2798
だしごはん,その他・オリジナル,35.695,139.776637,千代田区岩本町3-3-11,地下鉄岩本町駅 A5出口 徒歩2分 / JR秋葉原駅 昭和通出口 徒歩6分 / JR神田駅 北口 徒歩9分,"やきだしごはん忍者カレースパイシープラス唐揚げ ￥1,000 / 少な目－￥50、大盛＋￥100、特盛＋￥200 / 味玉変更 ＋￥100",11：30～14：30（LO）,土・日・祝、お盆、年末年始,03-3862-0768,辛くない,あり,67,,https://kanda-curry.com/?p=9666
定食屋いち,その他・オリジナル,35.69133,139.774109,千代田区神田西福田町2-3 ハトヤビル1F,JR神田駅南口 徒歩4分 / JR新日本橋駅6番出口 徒歩4分,"ドライカレー定食 ￥925 / カレーロースしょうがやき定食 ￥1,025 / マヨコーンチーズドライカレー定食 ￥975",月～金 朝 8:00～9:30（LO9:00） / 月～金 ランチ 11:00～15:30（LO15:00） / 金 ディナー 17:30～21:00（LO20:30）,土日、他はXで告知,メールにて teishoku001@gmail.com,調整可能,あり,67,概算,https://kanda-curry.com/?p=18688
鉄板居酒屋BelonBelonBooとBarボンド,その他・オリジナル,35.704207,139.775081,台東区上野5-7-7 公徳堂ビル102,JR御徒町駅 南口 徒歩4分 / 地下鉄末広町駅 2番出口 徒歩5分,"トマトと玉ねぎのスパイシーカレー ¥1,100 / 自家製お酢ジュース ¥550 / 自家製お酢サワー ¥660",火～土 18:30～翌5:00(LO翌3:00),日・月、お盆,03-5826-4885,激辛,あり,68,,https://kanda-curry.com/?p=9680
TOKYO CURRY BUCCI,その他・オリジナル,35.69952,139.747906,千代田区飯田橋1-10-1 六川ビル1F,JR飯田橋駅東口 徒歩7分 / 地下鉄飯田橋駅A5出口徒歩4分 / 地下鉄九段下駅7番出口徒歩6分,"BUCCI牛タンハンバーグＷカレー ￥1,660 / 牛タンキーマカレー ￥1,100 / 和風牛タンそぼろカレー ￥1,250",ランチ 11:00～14:00（LO） / ディナー 17:30～22:00（LO21:00）,土日祝、お盆、年末年始,03-5215-7272,中辛,あり,68,,https://kanda-curry.com/?p=15511
東京カレー屋名店会,その他・オリジナル,35.674103,139.76381,千代田区有楽町2-7-1 有楽町イトシアB1F,JR有楽町駅 D7出口 徒歩2分,"5店盛りコンボカレー ￥3,500 / 名店会オリジナル チキンカリー ￥1,050 / デリー カシミールカレー ￥1,450",11:00～23:00（LO22:30）,不定休（有楽町イトシアに準ずる）,03-3211-0616,調整可能,,68,,https://kanda-curry.com/?p=14466
トプカ 神田本店,その他・オリジナル,35.696282,139.769182,千代田区 神田須田町1-11,JR 神田駅 / 地下鉄 淡路町駅 / 新御茶ノ水駅 A3 徒歩3分,"インド風ポークカリー ￥1,300 / 純野菜カリー ￥1,250 / 欧風牛すじカリー ￥1,400",平日ランチ 11：00～15：30（LO） / 平日ディナー 17：30～22：30（LO21：30）（カレーレストラン＋居酒屋） / 土・日・祝 11：30～18：00（LO17：45）,年末年始,03-3255-0707,大辛,あり,69,,https://kanda-curry.com/?p=2196
丼達,その他・オリジナル,35.701102,139.754214,千代田区三崎町2‐11‐13 MMビル2 102,JR水道橋駅東口 徒歩2～3分,"丼達カレー ￥920 / チーズ丼達カレー ¥1,050 / 小盛り丼 100円引き",月火木金 11:30～19:30（LO） / 水曜日 11:30～17:00（LO） / 土曜日 11:30～15:00（LO）,日曜・祝日、お盆、年末年始,03‐3239‐7554,普通,あり,69,,https://kanda-curry.com/?p=6763
長崎トルコライス食堂,その他・オリジナル,35.699927,139.773083,千代田区神田練塀町8-2 ちゃばら内,JR秋葉原電気街口より徒歩2分,"カレーが主役のトルコライス ¥1,280 / ポークカツカレー ￥1,050 / スペシャル長崎トルコライス ¥1,650",11:30～21:00(LO19:30),不定休（主に月、火曜と11月の第1水曜）,03-6206-9223,調整可能,あり,69,,https://kanda-curry.com/?p=13325
新潟カツ丼タレカツ神田今川橋店,その他・オリジナル,35.690617,139.771988,千代田区鍛冶町1-7-11 KCAビル1F,JR神田駅東口南口徒歩3分 / 地下鉄神田駅1番出口徒歩3分,"カツカレー ￥1,230 / 野菜カツカレー ￥1,510 / カツと海老の合いもりカレー ￥1,660",月〜土 11:00～22:30（LO22:00） / 日・祝 11:00～21:30（LO21:00）,年末年始,03-3518-5520,中辛,あり,70,,https://kanda-curry.com/?p=18702
ハンバーグ専門店 松屋精肉店,その他・オリジナル,35.704742,139.772746,千代田区外神田5-4-2 末広ビル1F,銀座線末広町駅2番出口 徒歩5分 / JR御徒町駅南口 徒歩5分 / JR秋葉原駅電気街口 徒歩10分,"肉屋のインディアンカレー ¥1,280 / 国産牛ハンバーグ定食（2個盛）￥1,580 / 国産牛ハンバーグ定食（3個盛）￥2,080",火～金ランチ 11:30～14:30(LO14:00) / 火～金ディナー 17:30～21:30(LO21:00) / 土日祝ランチ 11:30～15:30(LO15:00) / 土日祝ディナー 17:30～21:30(LO21:00),月曜日、年末年始,03-5846-8806,辛い,あり,70,,https://kanda-curry.com/?p=15480
ヒナタ屋 神保町本店,その他・オリジナル,35.696455,139.761388,千代田区神田小川町3-10 振天堂ビル４F,JR御茶ノ水駅 / 地下鉄神保町駅A5徒歩5分,"2種のカレープレート ￥1,520 / トマトクリームカレー ￥1,200 / チキンカレー ￥1,200",月～土 11:30～15:00（L.O）,日・祝、お盆、年末年始,03-5848-7520,中辛,あり,70,,https://kanda-curry.com/?p=814
日乃屋カレー 御茶ノ水,その他・オリジナル,35.699038,139.76418,千代田区神田駿河台2-10-3,JR御茶ノ水駅 聖橋口より 徒歩30秒,"カツカレー＆カレースパゲティ ￥1,500 / 牛すじ煮込みカレー￥1,300 / チキン南蛮タルタルカレー￥1,200",平日 11:00~20:30（LO） / 土日祝 11:00～14:30（LO） / ※ルウがなくなり次第 早めに営業終了する場合がございます。,不定休、お盆、年末年始,03-6273-7539,中辛,あり,71,,https://kanda-curry.com/?p=9670
日乃屋カレー 神田,その他・オリジナル,35.694205,139.772235,千代田区鍛冶町2-11-16,JR神田駅東口 徒歩３分,名物カツカレー ¥780 / 日乃屋カレー（温玉or生卵） ¥650 / 名代上メンチカツカレー ¥780,月～金ランチ 11:00～16:00（LO15:45） / 月～金ディナー 17:00～19:30（LO19:15） / 土曜日 11:00～15:00（LO14:45）,日・祝、お盆、年末年始,03-6206-4795,やや辛い,あり,71,,https://kanda-curry.com/?p=828
日乃屋カレー 神保町店,その他・オリジナル,35.696198,139.759896,千代田区神田神保町1-4 1-4ビル1F,神保町駅 A5出口 徒歩2分,"焼きチキンカレー（平日ランチ限定） ¥1,100 / 日乃屋カレー（トッピングなし） ¥750 / 手仕込みカツカレー ¥1,100",10:00～21:00(LO),年末年始,03-6886-6015,中辛,あり,71,,https://kanda-curry.com/?p=16731
美味これくしょん神田倶楽部,その他・オリジナル,35.691522,139.763067,千代田区神田錦町2-7-22 ワールドビル1階,地下鉄大手町・竹橋・淡路町・小川町徒歩5分,"スパイス香るカレールージュ ￥1,300 / ほうれん草たっぷりグリーンカレー ￥1,300 / ビーフオムライス ￥2,950 / --------------- / 公式ガイドブック2026には、 / ほうれん草たっぷりグリーンカレーの料金が、 / ￥1,200 と記載がありますが、 / 正しくは、￥1,300 です。 / 何卒よろしくお願いいたします。 / （20260707）",ランチ 11:30〜14:30（LO 14:00） / ディナー17:00〜22:30（LO 21:15）,土・日・祝、お盆、年末年始,03-5280-5858,やや辛い,あり,72,,https://kanda-curry.com/?p=3426
ファニーティップス,その他・オリジナル,35.704365,139.772903,千代田区外神田5-5-7 パンセ秋葉原B1F,地下鉄末広町駅2番出口徒歩3分 / JR御徒町駅南口徒歩5分 / JR秋葉原駅電気街北口徒歩10分,"アサイーカレーボウル ￥1,490 / アサイーカレー＆グリークヨーグルト ￥2,000 / ミニアサイーカレーボウル（テイクアウトのみ） ￥500",8:00～14:30（LO）,火曜日、お盆、年末年始,03-6684-9954,辛くない,あり,72,,https://kanda-curry.com/?p=18668
FISH 丸の内店,その他・オリジナル,35.684064,139.766707,千代田区丸の内1-6-4 丸の内オアゾ B1F,JR東京駅 丸の内北口 徒歩1分 / 地下鉄大手町駅 B2b・B2c出口 徒歩1分,"メインメニュー： / チキンカレー（3種コンボ） ￥1,500 / （メイン：チキンカレー＋キーマカレー＋mix豆カレー） / その他メニュー： / 2代目フィッシュカレー（シングル） ￥1,400 / ポークカレー（3種コンボ） ￥1,500",11:00～21:00（LO20:30） / ※テイクアウトはLO20:30,年末年始,03-6810-2316,やや辛い,あり,72,,https://kanda-curry.com/?p=14316
豚バル ピッグテイル,その他・オリジナル,35.696499,139.761467,千代田区 神田小川町3－10 振天堂戸田ビル3F,都営新宿線 新保町駅 A5 / 中央線 御茶ノ水駅 御茶ノ水口,"豚フィレ フォアグラカレー ￥2,310 / 黒ビール豚カレー ￥1,210 / 黒ビール豚野菜カレー ￥1,320",火～土 17:05～24:00（LO23:00） / 日曜日 17:05～23:00（LO22:00）,月・祝・第3日曜、夏期休暇、年末年始,03-3295-6660,辛い,あり,73,,https://kanda-curry.com/?p=2905
べっぴん舍,その他・オリジナル,35.69587,139.761282,千代田区神田小川町3-10-1 駿台ビル2階,地下鉄 神保町駅A5出口 徒歩5分 / 地下鉄 新御茶ノ水駅B3b出口 徒歩5分 / JR御茶ノ水駅 御茶ノ水橋口出口 徒歩6分,"べっぴん牛すじカリー ￥1,300 / 赤のべっぴん薬膳カリー ￥1,100 / 黒のカシミールカリー ￥1,200",ランチ 11：00～15：30（LO15：00） / ※当面の間ランチのみ営業,月・水、夏季休業、年末年始,080-7896-5596,調整可能,あり,73,,https://kanda-curry.com/?p=4930
MITAN,その他・オリジナル,35.682701,139.764015,千代田区丸の内1-5-1新丸ビル地下1階,JR丸の内北口、地下鉄丸の内線 / 東京駅 徒歩1分,"MITAN特製ヘルシーベジタブルカレー ￥1,500（ランチのみ） / 黒毛和牛のローストビーフ ￥1,500 / ベイクドチーズケーキ ￥800",平日ランチ 11:00～14:00（L014:00） / 平日ディナー 17:00～22:00（L021:00） / 土日祝ランチ 11:00～14:00（L014:00）,不定休,03-3212-7305,やや辛い,なし,73,,https://kanda-curry.com/?p=9672
Music BAR 音STAGE 2nd,その他・オリジナル,35.691044,139.770111,千代田区内神田3-7-4 香文堂ビルB1F,JR神田駅西口徒歩1分,みなみカレー ￥930 / ハーフライスカレー ￥870 / ルーのみカレー ￥690,月～土 18:00～23:30（LO22:30） / 貸切もあるため、営業日時はHPやinstagram、Xのカレンダーを事前にご確認ください。,日祝,03-3527-1979,やや辛い,なし,74,,https://kanda-curry.com/music-bar-音stage-2nd/
モチヅキカレー,その他・オリジナル,35.703424,139.771133,千代田区外神田6-12-9 中鉄ビル1F,銀座線 末広町駅 出口4 徒歩40秒 / JR秋葉原駅 徒歩9分,チキンカレー ¥890 / ポークビンダルー ¥990 / スタンプラリー用ハーフカレーご用意あり,"月～木・土 11:00～19:00（LO18:45） / 金曜日 11:00～20:30（LO20:15）",日・祝、年末年始,mochizukicurry@gmail.com,辛くない,あり,74,,https://kanda-curry.com/?p=12913
焼肉モリちゃん 御茶ノ水店,その他・オリジナル,35.69634,139.761173,千代田区神田小川町3-10-11,地下鉄神保町駅 A5出口 徒歩4分 / JR御茶ノ水駅 お茶の水橋口 徒歩5分,"国産和牛の焼きしゃぶカレー（ランチ限定） ￥1,300 / 生卵 ￥100 / 国産和牛の焼きしゃぶ定食 ￥2,100",ランチ 11:30～15:30（LO15:00）,年末年始,03-5282-4823,辛くない,あり,74,,https://kanda-curry.com/?p=14431
やっぱりカレーは金曜日だよね,その他・オリジナル,35.692832,139.7406,千代田区九段北4-1-35 GLAX市ヶ谷102,地下鉄市ヶ谷駅 A4 徒歩４分,"月替り海自カレー＆ブルーインパルスセット ￥1,600～ / (毎月のカレーによって値段が変わります) / 月替わり海自＆選べる陸自の食べ比べカレー ￥1,500〜 / 月替り海自カレー（単品） ￥1,150～",月～金 11:00～20:30(LO20:00) / 土曜日 11:00～18:30(LO18:00),日曜日、お盆、金曜日以外の祝日,03-6380-8666,調整可能,あり,75,,https://kanda-curry.com/やっぱりカレーは金曜日だよね/
肆-YON-,その他・オリジナル,35.695793,139.758453,千代田区神田神保町1-9-23,地下鉄神保町駅A7出口徒歩1分,"サバキーマ ￥1,500 / 肆オリジナルサバカレー ￥1,400 / スパイスおつまみ三点盛り ￥1,400",ランチ 11:30～14:00(LO) / カフェ 14:00～17:00 / ディナー 17:00～23:30（LO22:30） / ※営業時間の変更は、instagram や X でお知らせします。,"不定休 
 ※休業日はSNSでお知らせします。",03-5801-6464,やや辛い,あり,75,概算,https://kanda-curry.com/?p=18682
ラホール 外神田店,その他・オリジナル,35.701039,139.770863,千代田区外神田3-10-9木村ビル1階,秋葉原駅電気街口 徒歩5分 / 地下鉄末広町駅 3番 徒歩2,"﻿ブラックほうれん草カレー ¥1,080 / 日本風チキンカレー ￥900 / インド風カツカレー ￥980",11：00～20：00（LO19：30）,火曜日（祝日の場合は翌日）、お盆、年末年始,03-3251-9030,調整可能,あり,75,,https://kanda-curry.com/?p=1785
lei 小麦を使わない国産ビストロ,その他・オリジナル,35.699192,139.77597,千代田区神田和泉町1-13-11 和泉町中央ビルB1F,JR秋葉原駅 昭和通り口 徒歩6分 / 地下鉄秋葉原駅 1番出口 徒歩5分 / 地下鉄岩本町駅 A4出口 徒歩9分,"もち豚燻製カレー ￥1,200 / オムレツカレー ￥1,350 / もち豚の燻製サラダプレート ￥1,200",月～金ランチ 11:30～14:00（LO13:30）,土・日・祝、年末年始、不定休,080-2595-5464,やや辛い,あり,76,概算,https://kanda-curry.com/?p=18693
RESTAURANT 1899 OCHANOMIZU,その他・オリジナル,35.696436,139.765711,千代田区神田駿河台3‐4,地下鉄千代田線 新御茶ノ水駅 B3a出口 徒歩1分 / 地下鉄丸の内線 淡路町駅 B3a出口 徒歩1分,"1899和出汁キーマカレー ￥1,200 / 国産牛ステーキ膳 ¥1,880（数量限定） / 抹茶味噌の鯛茶漬け ¥1,380",ランチ 11:00～14:00（LO13:30） / カフェ 14:00～17:30（LO17:00） / 月～土ディナー 17:00～22:00（LO21:30）,日と祝日のディナータイム、年末年始,03-3251-1150,辛くない,あり,76,,https://kanda-curry.com/?p=11357
レストラン エフ（主婦会館プラザエフ）,その他・オリジナル,35.686003,139.731916,千代田区六番町15番地 主婦会館プラザエフ2F,JR四ツ谷駅麹町口 徒歩1分 / 南北線四ツ谷駅3番出口 徒歩3分 / 丸の内線四ツ谷駅1番出口 徒歩3分,"南極シェフの特製エフカレー（サラダ、スープ付） ￥1,650～ / 肉、魚選べる日替わり平日限定ランチ ￥1,650～ / 日替わりパスタランチ ￥1,430～",ランチ 11:30～14:00（LO13:45） / カフェ 14:00～17:00（LO16:30）,お盆、年末年始,03-3265-8115,辛くない,あり,76,,https://kanda-curry.com/?p=11426
